[40, 11, 17, 24, 28, 14, 32, 29, 6, 47, 5, 39, 7, 12, 21, 35, 15, 1, 49, 26, 3, 4, 44, 30, 34, 2, 41, 22, 20, 8, 31, 9, 23, 27, 25, 43, 33, 36, 0, 38, 42, 18, 46, 13, 19, 45, 37, 48, 10, 16]
[25, 12, 26, 17, 11, 30, 5, 6, 41, 21, 8, 9, 38, 43, 27, 14, 32, 47, 33, 28, 42, 31, 37, 46, 1, 48, 36, 49, 29, 18, 4, 3, 22, 34, 23, 0, 16, 24, 35, 40, 39, 44, 19, 10, 7, 20, 15, 2, 45, 13]
[37, 13, 1, 0, 44, 16, 31, 36, 7, 5, 8, 10, 28, 26, 12, 6, 35, 34, 14, 17, 24, 29, 21, 22, 18, 38, 3, 39, 32, 20, 27, 9, 41, 40, 11, 46, 15, 47, 23, 25, 30, 19, 45, 49, 2, 4, 48, 33, 42, 43]
[34, 0, 19, 37, 43, 6, 13, 5, 47, 48, 40, 26, 11, 9, 12, 14, 15, 33, 46, 17, 31, 49, 44, 20, 18, 25, 10, 39, 24, 35, 29, 41, 45, 36, 38, 27, 1, 2, 32, 23, 8, 28, 21, 22, 3, 30, 42, 7, 4, 16]
[45, 0, 10, 2, 1, 3, 5, 6, 24, 7, 4, 9, 17, 11, 21, 14, 47, 8, 16, 18, 22, 13, 33, 15, 12, 20, 46, 39, 27, 28, 38, 40, 44, 48, 42, 23, 34, 32, 31, 25, 19, 36, 37, 35, 29, 41, 43, 26, 30, 49]
[45, 16, 24, 15, 46, 32, 38, 5, 11, 8, 9, 12, 7, 10, 13, 6, 42, 39, 36, 2, 35, 19, 23, 49, 1, 26, 14, 27, 22, 43, 47, 44, 4, 31, 41, 34, 17, 28, 21, 40, 0, 48, 18, 37, 29, 33, 3, 20, 25, 30]
[47, 0, 9, 4, 44, 3, 12, 5, 41, 27, 1, 8, 18, 33, 30, 10, 34, 16, 15, 45, 17, 24, 25, 21, 20, 19, 40, 14, 11, 26, 6, 38, 42, 46, 35, 22, 32, 36, 29, 37, 23, 43, 31, 48, 2, 13, 28, 49, 7, 39]
[44, 0, 28, 29, 8, 25, 5, 6, 3, 35, 19, 26, 17, 12, 2, 43, 30, 32, 7, 46, 16, 48, 31, 34, 18, 33, 40, 15, 1, 42, 27, 37, 11, 4, 13, 24, 10, 14, 21, 47, 36, 39, 22, 23, 41, 9, 49, 38, 20, 45]
[47, 13, 1, 2, 32, 20, 21, 41, 9, 7, 8, 46, 11, 0, 12, 14, 15, 17, 28, 27, 4, 22, 5, 26, 36, 23, 35, 18, 31, 37, 43, 44, 29, 25, 33, 48, 6, 42, 24, 34, 39, 38, 45, 16, 49, 3, 10, 40, 19, 30]
[40, 6, 18, 2, 3, 4, 33, 5, 9, 20, 42, 10, 11, 16, 13, 38, 32, 39, 1, 17, 7, 43, 28, 0, 12, 14, 41, 45, 31, 49, 29, 46, 48, 23, 21, 19, 24, 26, 25, 34, 47, 15, 8, 27, 30, 22, 37, 35, 36, 44]
