[45, 9, 19, 2, 18, 21, 49, 7, 33, 27, 34, 10, 11, 12, 13, 14, 32, 15, 22, 1, 25, 4, 3, 35, 23, 39, 43, 29, 26, 37, 48, 17, 44, 41, 8, 31, 0, 16, 28, 40, 47, 20, 38, 24, 36, 42, 46, 6, 30, 5]
[22, 0, 41, 21, 3, 4, 23, 9, 7, 36, 8, 12, 46, 49, 10, 20, 28, 18, 26, 25, 42, 13, 19, 24, 17, 39, 34, 1, 48, 38, 31, 44, 47, 37, 16, 27, 45, 30, 11, 32, 40, 43, 6, 35, 14, 5, 33, 29, 2, 15]
[30, 25, 41, 0, 2, 32, 1, 42, 7, 5, 31, 10, 33, 20, 45, 28, 44, 35, 21, 4, 14, 26, 16, 12, 22, 38, 23, 24, 36, 13, 37, 8, 19, 46, 27, 6, 29, 39, 47, 43, 49, 17, 9, 34, 15, 48, 18, 3, 11, 40]
[34, 19, 1, 2, 31, 4, 13, 6, 33, 15, 8, 10, 14, 42, 28, 3, 12, 37, 22, 21, 32, 0, 26, 43, 5, 23, 35, 9, 36, 44, 39, 45, 18, 41, 25, 17, 47, 16, 11, 27, 46, 7, 24, 20, 30, 48, 49, 40, 29, 38]
[30, 32, 12, 2, 6, 4, 3, 31, 21, 29, 24, 16, 20, 11, 1, 27, 10, 15, 41, 35, 14, 36, 49, 44, 45, 28, 18, 13, 39, 47, 37, 48, 0, 42, 17, 8, 38, 22, 43, 33, 25, 40, 23, 7, 9, 26, 34, 19, 5, 46]
[44, 0, 36, 14, 42, 5, 23, 8, 1, 24, 30, 10, 41, 11, 43, 16, 13, 46, 39, 17, 6, 29, 2, 40, 21, 19, 35, 31, 25, 20, 47, 9, 28, 22, 27, 48, 49, 32, 45, 38, 12, 4, 3, 26, 37, 15, 18, 34, 33, 7]
[39, 6, 12, 0, 2, 34, 8, 9, 17, 42, 25, 10, 35, 5, 27, 32, 49, 45, 43, 3, 19, 18, 33, 28, 48, 7, 30, 11, 20, 44, 47, 26, 41, 29, 4, 22, 31, 23, 16, 36, 40, 46, 13, 15, 38, 37, 14, 21, 1, 24]
[23, 0, 48, 32, 3, 4, 30, 6, 25, 19, 9, 21, 26, 37, 27, 43, 7, 15, 16, 42, 17, 10, 24, 20, 39, 49, 34, 44, 40, 2, 45, 28, 13, 33, 8, 38, 31, 41, 46, 18, 29, 35, 47, 14, 11, 5, 36, 12, 1, 22]
[19, 24, 12, 2, 8, 20, 34, 6, 3, 7, 9, 13, 40, 30, 38, 10, 33, 36, 15, 28, 46, 26, 41, 25, 29, 31, 14, 32, 39, 43, 1, 48, 17, 22, 42, 18, 11, 45, 5, 49, 27, 0, 47, 23, 37, 35, 4, 21, 16, 44]
[35, 0, 7, 17, 16, 20, 33, 39, 4, 28, 9, 26, 25, 31, 11, 14, 3, 36, 15, 8, 30, 13, 45, 44, 6, 48, 10, 19, 47, 49, 29, 2, 38, 27, 23, 22, 37, 21, 42, 43, 46, 12, 5, 40, 32, 18, 1, 41, 24, 34]
